name,country,state,city,logo,rulesets,website,wftdaWebsite,tags,isDeleted,lat,lng
Cedar Valley Roller Derby,us,,"Waterloo, IA, us",/img/leagues/WFTDA/cedar-valley-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/cedar-valley-roller-derby/,[],FALSE,42.498275,-92.3328743
Rock Town Roller Derby,us,,"Little Rock, AR, us",/img/leagues/WFTDA/rock-town.png,WFTDA,,https://wftda.com/wftda-leagues/rock-town-roller-derby/,[],FALSE,34.7465071,-92.2896267
Central Coast Roller Derby,us,,"Paso Robles, CA, us",/img/leagues/WFTDA/central-coast-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/central-coast-roller-derby/,[],FALSE,35.6262618,-120.6901319
Roller Derby of Central Kentucky,us,,"Lexington, KY, us",/img/leagues/WFTDA/central-kentucky.png,WFTDA,,https://wftda.com/wftda-leagues/roller-derby-of-central-kentucky/,[],FALSE,38.0464066,-84.4970393
Central New York Roller Derby,us,,"Utica/Rome, NY, us",/img/leagues/WFTDA/central-new-york.png,WFTDA,,https://wftda.com/wftda-leagues/central-new-york-roller-derby/,[],FALSE,43.2102196,-75.4583956
Charlotte Roller Derby,us,,"Charlotte, NC, us",/img/leagues/WFTDA/charlotte.png,WFTDA,,https://wftda.com/wftda-leagues/charlotte-roller-derby/,[],FALSE,35.2272086,-80.8430827
Charlottesville Derby Dames,us,,"Charlottesville, VA, us",/img/leagues/WFTDA/charlottesville-derby-dames.png,WFTDA,,https://wftda.com/wftda-leagues/charlottesville-derby-dames/,[],FALSE,38.029306,-78.4766781
Chattanooga Roller Derby,us,,"Chattanooga, TN, us",/img/leagues/WFTDA/Chattanooga-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/chattanooga-roller-derby/,[],FALSE,35.0457219,-85.3094883
Cherry City Roller Derby,us,,"Salem, OR, us",/img/leagues/WFTDA/cherry-city-derby-girls.png,WFTDA,,https://wftda.com/wftda-leagues/cherry-city-roller-derby/,[],FALSE,44.9391565,-123.033121
Chippewa Valley Roller Derby,us,,"Eau Claire, WI, us",/img/leagues/WFTDA/chippewa-valley.png,WFTDA,,https://wftda.com/wftda-leagues/chippewa-valley-roller-derby/,[],FALSE,44.811349,-91.4984941
Cincinnati Rollergirls,us,,"Cincinnati, OH, us",/img/leagues/WFTDA/cincinnati-rollergirls.png,WFTDA,,https://wftda.com/wftda-leagues/cincinnati-rollergirls/,[],FALSE,39.1014537,-84.5124602
